skill,job_posting_growth,github_velocity,community_decay,research_trend,recent_job_postings,recent_github_stars,job_volatility,days_observed,total_observations,current_demand,forecast_demand,forecast_trend,risk_score,risk_category
AWS,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.092,low
Actionscript,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.079,low
Airflow,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.08,low
Angular,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.084,low
Applescript,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.059,low
Assembly,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.109,low
Awk,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.129,low
Batchfile,0.0,0.0,-0.0,0.0,14.0,0.0,0.0,0,2,7.0,7.0,stable,0.062,low
C,0.0,0.0,-0.0,0.0,6.0,0.0,0.0,0,2,3.0,3.0,stable,0.053,low
C++,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.065,low
Cmake,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.081,low
Coffeescript,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.108,low
Css,0.0,0.0,-0.0,0.0,12.0,0.0,0.0,0,2,6.0,6.0,stable,0.082,low
Dart,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.133,low
Docker,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.088,low
Dockerfile,0.0,0.0,-0.0,0.0,14.0,0.0,0.0,0,2,7.0,7.0,stable,0.108,low
Elixir,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.086,low
Fastapi,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.085,low
Go,0.0,0.0,-0.0,0.0,12.0,0.0,0.0,0,2,6.0,6.0,stable,0.143,low
Grpc,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.121,low
Html,0.0,0.0,-0.0,0.0,16.0,0.0,0.0,0,2,8.0,8.0,stable,0.139,low
Inno Setup,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.107,low
Java,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.089,low
JavaScript,0.0,0.0,-0.0,0.0,30.0,0.0,0.0,0,2,15.0,15.0,stable,0.101,low
Jinja,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.066,low
Jsonnet,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.141,low
Kotlin,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.076,low
Kubernetes,0.0,0.0,-0.0,0.0,6.0,0.0,0.0,0,2,3.0,3.0,stable,0.054,low
Makefile,0.0,0.0,-0.0,0.0,14.0,0.0,0.0,0,2,7.0,7.0,stable,0.08,low
Mako,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.107,low
Mdx,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.05,low
Microservices,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.115,low
Next.Js,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.051,low
Node.Js,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.129,low
Node.js,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.128,low
Objective-C,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.059,low
Perl,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.052,low
Plpgsql,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.054,low
Postgresql,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.143,low
Powershell,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.087,low
Pug,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.055,low
PyTorch,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.115,low
Python,0.0,0.0,-0.0,0.0,58.0,0.0,0.0,0,2,29.0,29.0,stable,0.097,low
React,0.0,0.0,-0.0,0.0,12.0,0.0,0.0,0,2,6.0,6.0,stable,0.063,low
Redis,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.109,low
Ruby,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.086,low
Rust,0.0,0.0,-0.0,0.0,10.0,0.0,0.0,0,2,5.0,5.0,stable,0.098,low
Sass,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.13,low
Scss,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.118,low
Shell,0.0,0.0,-0.0,0.0,28.0,0.0,0.0,0,2,14.0,14.0,stable,0.14,low
Snowflake,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.148,low
Spark,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.056,low
Swift,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.065,low
Systems Programming,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.112,low
Tailwind Css,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.096,low
TensorFlow,0.0,0.0,-0.0,0.0,6.0,0.0,0.0,0,2,3.0,3.0,stable,0.066,low
Terraform,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.069,low
TypeScript,0.0,0.0,-0.0,0.0,16.0,0.0,0.0,0,2,8.0,8.0,stable,0.122,low
Vue.Js,0.0,0.0,-0.0,0.0,6.0,0.0,0.0,0,2,3.0,3.0,stable,0.059,low
Vue.js,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.051,low
Webassembly,0.0,0.0,-0.0,0.0,2.0,0.0,0.0,0,2,1.0,1.0,stable,0.141,low
scikit-learn,0.0,0.0,-0.0,0.0,4.0,0.0,0.0,0,2,2.0,2.0,stable,0.115,low
